0,3124
0,5650
0,9186
0,3124
0,5650
0,9186
2,4723
3,3843
3,6523
4,2954
5,3677
5,6414
5,8679
6,2144
6,6176
6,8589
7,2455
8,8231
9,2508
9,5451
9,7764
11,6204
12,2342
12,4617
12,7336
13,2891
13,6003
13,8596
14,5207
14,7607
15,3407
15,7422
15,9839
16,2549
16,5279
17,2525
17,9336
18,3792
18,6429
18,8606
19,2216
20,7553
21,2833
21,6191
21,9027
22,3030
22,5637
24,3210
24,5573
24,8301
25,3629
25,6505
26,2523
27,2489
27,5004
27,7947
28,3419
29,3291
29,5773
29,8527
30,8963
31,8471
33,6241
33,9658
34,5294
36,4450
37,3434
37,6209
37,9119
38,2636
38,9961
39,2531
39,5327
39,8688
40,2606
40,5500
40,7947
41,2471
42,7872
43,2231
43,4859
43,7036
45,5858
46,4729
46,7453
47,2570
47,5683
47,8276
48,4644
48,7335
48,9609
49,3081
49,7103
49,9519
50,2562
51,2586
51,8735
52,3471
52,6110
52,8287
53,2463
53,4695
53,7416
54,7142
55,2415
55,5931
55,8705
56,2659
56,5170
58,2805
58,5254
58,7981
59,3296
59,6186
60,2203
61,2938
61,9371
62,3112
63,2875
63,5459
63,8205
64,8472
65,4304
65,6981
67,3694
67,6093
67,8734
68,2616
68,5577
68,8188
69,2479
70,7926
71,2277
71,4916
71,7093
73,5917
74,4737
74,7511
75,2624
75,5737
75,8330
